analysis_level,config_label,preprocessing,model_name,params_json,validation_design,n_total_sample_groups,n_cv_test_sample_groups,held_out_test_sample_ids,edge_sample_ids_not_tested,edge_labels_not_tested_mg_kg,selection_metric,fit_status,error_message,cv_n,cv_rmse,cv_mae,cv_r2,cv_smape_percent,cv_mape_percent,cv_bias_mg_kg,cv_median_abs_error_mg_kg,cv_max_abs_error_mg_kg,blind_n,blind_rmse,blind_mae,blind_r2,blind_smape_percent,blind_mape_percent,blind_bias_mg_kg,blind_median_abs_error_mg_kg,blind_max_abs_error_mg_kg
sample_mean,sg_selected__PLSRegression__001,sg_selected,PLSRegression,"{""model__n_components"": 1}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.8416769561818668,0.6891782949981802,0.8906283517451798,5.12617765112272,5.050347876094003,-0.192864061241165,0.6988603047357493,1.8958342365710017,5.0,1.1226431823555905,0.9484652023239551,-0.4496532571354881,10.611606153477846,11.461060708505943,0.7635345864847449,1.2327816148656208,1.6130098690147756
sample_mean,sg_selected__PLSRegression__002,sg_selected,PLSRegression,"{""model__n_components"": 2}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.441415142169888,0.403267101581318,0.9699178870902756,3.1421354377153743,3.151683515803517,-0.0605029156507898,0.4283888554578468,0.6519267200080208,5.0,0.6105825355654456,0.5309914851844348,0.5711855563285833,6.108797907943857,6.390025290801892,0.5309914851844348,0.5342110790829633,1.039742617867959
sample_mean,sg_selected__PLSRegression__003,sg_selected,PLSRegression,"{""model__n_components"": 3}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.3440933883339618,0.3005016950960662,0.9817204062889866,2.4045840137410512,2.422231435876452,0.0605410109288823,0.2518231819164178,0.612669291800648,5.0,0.5076399961006334,0.4264183292089795,0.7035903672539657,5.008362191686534,5.21393748668502,0.4264183292089795,0.3765398959864185,0.9282630841535964
sample_mean,sg_selected__PLSRegression__004,sg_selected,PLSRegression,"{""model__n_components"": 5}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.3062506102484744,0.2371991165375262,0.9855200251160168,1.95157977022754,1.9557833754005935,0.0092477923055897,0.1486775411153473,0.5488610515182231,5.0,0.9425396008887534,0.909697689247974,-0.0218328526388578,10.194086523435317,10.82700857740336,0.909697689247974,0.8020793112265263,1.3893219395558711
sample_mean,sg_selected__PCA_PLSRegression__005,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 2, ""model__pls__n_components"": 1}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.6247438884522021,0.5304586010737403,0.9397415556359376,3.943575472522957,3.915972061822073,-0.2086637139567783,0.4790497880006814,1.3846220643596467,5.0,0.7721015800527374,0.7050837521448996,0.3143072912002671,8.0806229073111,8.535257920194478,0.7050837521448996,0.5933865199256374,1.3210627853403247
sample_mean,sg_selected__PCA_PLSRegression__006,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 2, ""model__pls__n_components"": 2}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.624743888452202,0.5304586010737403,0.9397415556359376,3.943575472522956,3.915972061822073,-0.2086637139567785,0.4790497880006814,1.3846220643596467,5.0,0.7721015800527378,0.7050837521448999,0.3143072912002665,8.080622907311104,8.535257920194482,0.7050837521448999,0.5933865199256392,1.3210627853403247
sample_mean,sg_selected__PCA_PLSRegression__007,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 5, ""model__pls__n_components"": 1}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.3419424235796589,0.2661814917833356,0.9819482273993086,2.1316773894517005,2.1476621900319555,0.0436137753125436,0.190499376493527,0.7179789913646175,5.0,0.8969012431270508,0.8533802818010633,0.074726975285229,9.636458971801328,10.223274981143156,0.8533802818010633,0.7490080121358851,1.3887705823086476
sample_mean,sg_selected__PCA_PLSRegression__008,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 5, ""model__pls__n_components"": 2}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.341942423579659,0.2661814917833359,0.9819482273993084,2.1316773894517023,2.1476621900319577,0.0436137753125436,0.1904993764935305,0.7179789913646175,5.0,0.896901243127049,0.8533802818010615,0.0747269752852325,9.636458971801307,10.223274981143136,0.8533802818010615,0.7490080121358833,1.3887705823086458
sample_mean,sg_selected__Ridge__009,sg_selected,Ridge,"{""model__alpha"": 0.1}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.4143388584477909,0.3344277007792143,0.9734951583832572,2.706298780146009,2.730611377649383,0.0861027785453446,0.2735179003587547,0.7295024090423858,5.0,0.3155806773454318,0.2612614758877107,0.8854483215405478,2.9395264922559803,2.8898538265389093,-0.167155826430632,0.2043398953916817,0.569734974590709
sample_mean,sg_selected__Ridge__010,sg_selected,Ridge,"{""model__alpha"": 1.0}",Middle-label-only LeaveOneGroupOut over sample_id; minimum-label and maximum-label samples are not held out as test folds but remain in training folds.,15,13,"1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15","3, 10","8, 18","middle-sample CV RMSE, then MAE and sMAPE; blind metrics not used for selection",ok,,13.0,0.3439233801073086,0.2705365936280162,0.9817384648376304,2.255416086890879,2.2639597803263,0.0527586936434493,0.1965420782160762,0.6683577420524269,5.0,0.4126811787605958,0.3625649870251314,0.8041110340052293,4.172073104517937,4.285006009181688,0.2586089948523023,0.4661504987993066,0.5969655986548092
