config_label,preprocessing,model_name,params_json,validation_design,edge_sample_ids_not_used_as_test,fit_status,error_message,cv_rmse,cv_mae,cv_r2,cv_smape_percent,cv_mape_percent,cv_bias_mg_kg,cv_median_abs_error_mg_kg,cv_max_abs_error_mg_kg,n_cv_test_samples,blind_rmse,blind_mae,blind_r2,blind_smape_percent,blind_mape_percent,blind_bias_mg_kg,blind_median_abs_error_mg_kg,blind_max_abs_error_mg_kg,n_blind_samples
sg_selected__PLSRegression__001,sg_selected,PLSRegression,"{""model__n_components"": 1}",sample-level mean spectra; middle-label-only leave-one-sample testing,"[2, 9]",ok,,6.124358850414387,5.270046663759829,0.9482663362998462,4.321474318180808,4.258907378765694,-0.3179229096601217,4.884395126362875,10.724558948025432,13,13.72312016481931,12.172715062303046,-0.1065105328064999,11.644941617096825,10.83081873505964,-12.172715062303046,8.699684368471452,21.778391574372836,5
sg_selected__PLSRegression__002,sg_selected,PLSRegression,"{""model__n_components"": 2}",sample-level mean spectra; middle-label-only leave-one-sample testing,"[2, 9]",ok,,3.988990452812314,2.81234184607631,0.9780528581946384,2.4445219679336447,2.4004477180984125,-0.7373543998110403,1.7900221599416568,10.105651943856572,13,2.3630229490341037,2.012540292315151,0.9671915510871144,1.8535054893559175,1.8620852261573844,-0.0208906050654945,1.3244589106100193,4.050742651773319,5
sg_selected__PLSRegression__003,sg_selected,PLSRegression,"{""model__n_components"": 3}",sample-level mean spectra; middle-label-only leave-one-sample testing,"[2, 9]",ok,,2.6554127292135083,1.776404271279971,0.9902744081094512,1.5418110917052965,1.519286770851892,-0.5563145150569573,1.0015588174165089,6.102502096667365,13,4.439767898917439,3.9405211183969215,0.8841835221033173,3.4467052571588703,3.3752922282698363,-3.78905775028434,4.833349037544366,6.065812912062739,5
sg_selected__PLSRegression__004,sg_selected,PLSRegression,"{""model__n_components"": 5}",sample-level mean spectra; middle-label-only leave-one-sample testing,"[2, 9]",ok,,1.49089741818302,1.1315105444945164,0.9969341740117228,0.892106745142955,0.8881244913151429,-0.3410934916531764,0.6843652019922217,2.904721529641421,13,4.9859097063603,4.770498238630969,0.8539375307058198,4.281243000501051,4.182871749461388,-4.770498238630969,5.650711799794891,5.978575917708696,5
sg_selected__PCA_PLSRegression__005,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 2, ""model__pls__n_components"": 1}",sample-level mean spectra; middle-label-only leave-one-sample testing,"[2, 9]",ok,,5.843944513892948,4.940190152460298,0.9528953106950112,4.165226212963455,4.096395108672508,-1.029181865972951,4.403613553595903,12.066075487004056,13,6.315816475134741,5.216983524015044,0.7656263284298113,4.864568100483206,4.7119062812261365,-4.09014301576128,4.967006670176573,9.67439523987504,5
sg_selected__PCA_PLSRegression__006,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 2, ""model__pls__n_components"": 2}",sample-level mean spectra; middle-label-only leave-one-sample testing,"[2, 9]",ok,,5.843944513892947,4.9401901524603,0.9528953106950112,4.165226212963456,4.096395108672509,-1.029181865972951,4.403613553595903,12.066075487004042,13,6.3158164751347385,5.21698352401504,0.7656263284298115,4.864568100483204,4.711906281226135,-4.090143015761276,4.967006670176573,9.67439523987504,5
sg_selected__PCA_PLSRegression__007,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 5, ""model__pls__n_components"": 1}",sample-level mean spectra; middle-label-only leave-one-sample testing,"[2, 9]",ok,,1.7971364348649743,1.2819168288930718,0.9955453450069226,1.0397503149134002,1.0294330117117,-0.524823053369804,0.8318860559434427,4.6225944233571,13,2.050315304412312,1.8608793804849424,0.9753003313694584,1.595336528302515,1.5808920912057085,-1.8608793804849424,1.2868806766537375,3.1114703194869837,5
sg_selected__PCA_PLSRegression__008,sg_selected,PCA_PLSRegression,"{""model__pca__n_components"": 5, ""model__pls__n_components"": 2}",sample-level mean spectra; middle-label-only leave-one-sample testing,"[2, 9]",ok,,1.7971364348649683,1.2819168288930751,0.9955453450069228,1.0397503149134029,1.029433011711703,-0.5248230533697963,0.8318860559434427,4.622594423357072,13,2.050315304412312,1.8608793804849424,0.9753003313694584,1.595336528302515,1.5808920912057085,-1.8608793804849424,1.2868806766537375,3.1114703194869837,5
sg_selected__Ridge__009,sg_selected,Ridge,"{""model__alpha"": 0.1}",sample-level mean spectra; middle-label-only leave-one-sample testing,"[2, 9]",ok,,1.6912064684794608,1.3154867699757085,0.9960550160734384,1.0539563264168863,1.049068906688193,-0.3618101510242582,0.9922715909825968,3.481469601498105,13,6.419972623114412,6.207663682747056,0.7578323250733006,5.604167774588953,5.44071187341745,-6.207663682747056,6.750474626128508,7.488712985698825,5
sg_selected__Ridge__010,sg_selected,Ridge,"{""model__alpha"": 1.0}",sample-level mean spectra; middle-label-only leave-one-sample testing,"[2, 9]",ok,,2.046475104642739,1.3110484576754216,0.9942234982716692,1.102106465417916,1.0906314498122165,-0.5092620970235799,0.2472519614042028,4.394525156285525,13,5.6969971745611945,5.455836344083158,0.809303892613541,4.9039077473187405,4.77616675308798,-5.455836344083158,5.928530185912834,7.386941592929659,5
