model_name,n_targets,mean_macro_f1_fixed6,std_macro_f1_fixed6,median_macro_f1_fixed6,min_macro_f1_fixed6,max_macro_f1_fixed6,mean_macro_f1_present,mean_accuracy,mean_balanced_accuracy,delta_vs_ss_mean,wins_vs_ss,losses_vs_ss,ties_vs_ss
power_yeojohnson_svm,9,0.7853842143707224,0.11287665947850926,0.8015099863268303,0.6149488761000707,0.9464462367916994,0.8383537122705477,0.8710750579773542,0.861139817277929,0.06241950105350206,8,1,0
signed_log_abs_svm,9,0.7761512643765617,0.10905603691257124,0.7827465766168963,0.6128904415021057,0.9336935438955133,0.8291233236777831,0.8653182486151191,0.8526403240612138,0.05318655105934132,8,1,0
routear_combined_svm,9,0.7728967491921742,0.09177799363402694,0.758992789493036,0.654907411000509,0.9168787293473959,0.8250603629433929,0.8542625672284113,0.8525194261200304,0.0499320358749539,6,3,0
quantile_normal_svm,9,0.7385422607994946,0.13866072745166452,0.7467548536721469,0.44843846631970324,0.9422945307476419,0.7896406874532109,0.8062607323743811,0.8231582388019157,0.015577547482274226,6,3,0
ratio_median_svm,9,0.7229647133172203,0.12676884075388198,0.7434872338040502,0.5074446049329545,0.8790961507806578,0.7735277633270025,0.8051990690336803,0.8189247558436019,0.0,0,0,9
ss_svm_rbf,9,0.7229647133172203,0.12676884075388198,0.7434872338040502,0.5074446049329545,0.8790961507806578,0.7735277633270025,0.8051990690336803,0.8189247558436019,0.0,0,0,9
robust_svm_rbf,9,0.6796455483069249,0.14420527350914966,0.7368402941574237,0.3713838587289187,0.8120180703426246,0.730246652205506,0.7377068404818496,0.7805503262122186,-0.04331916501029543,2,7,0
