model_name,mean_test_delta_best_minus_second,median_test_delta_best_minus_second,min_test_delta_best_minus_second,max_test_delta_best_minus_second
power_yeojohnson_svm,0.017418325096131664,0.0,-0.025271653497832225,0.17532139227809862
quantile_normal_svm,-0.009732250139855835,-0.0007433984602515098,-0.054023897930242815,0.041327592096841004
ratio_median_svm,-0.006785489993884804,-0.005349479575819327,-0.13491162486729436,0.0993402646152518
robust_svm_rbf,-0.03179643089594739,-0.004650851991526039,-0.15881292542618114,0.030556732132621445
routear_combined_svm,-0.00979489074351044,-0.003395126108814983,-0.0631708138733833,0.03313961860465209
signed_log_abs_svm,0.012152183337631857,0.0,-0.01622988809659287,0.11729932059336456
ss_svm_rbf,-0.006785489993884804,-0.005349479575819327,-0.13491162486729436,0.0993402646152518
