model_name,n_targets,positive_fraction,median_delta,q1_delta,q3_delta,iqr_delta,min_delta,max_delta
signed_log_abs_svm,9,0.8888888888888888,0.0742268571536864,0.0100418306533436,0.0943828323177575,0.0843410016644139,-0.0811748865714619,0.1641562025629275
power_yeojohnson_svm,9,0.8888888888888888,0.0616005945274237,0.0288052403632776,0.0989574809664846,0.070152240603207,-0.064606586364619,0.1815550124341897
routear_combined_svm,9,0.6666666666666666,0.037782578566738,-0.0069273941157351,0.0616005945274237,0.0685279886431588,-0.0593163372589659,0.2033258138724571
quantile_normal_svm,9,0.6666666666666666,0.0296443947269066,-0.0474127248253045,0.0460399576577318,0.0934526824830363,-0.0911662094927355,0.1269671231640334
ratio_median_svm,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ss_svm_rbf,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
robust_svm_rbf,9,0.2222222222222222,-0.0222018765022163,-0.0720371323171676,-0.0024564487985662,0.0695806835186014,-0.1360607462040358,0.0158110628940644
