model_name,mean_delta_vs_ss,median_delta_vs_ss,min_delta_vs_ss,max_delta_vs_ss
power_yeojohnson_svm,0.011707244686108089,0.002004500372219109,-0.04721338384710727,0.07534420028763189
quantile_normal_svm,0.0068138246088024525,0.021466347053761048,-0.09116620949273552,0.13302611718222623
ratio_median_svm,0.0,0.0,0.0,0.0
robust_svm_rbf,-0.019850696971047885,-0.014370855620119305,-0.06684078764338475,0.0028816287180774003
routear_combined_svm,0.012266848457867852,-0.003612674527429194,-0.0730544214850275,0.20332581387245718
signed_log_abs_svm,0.019126926299473806,0.007971964257503128,-0.03541102263284179,0.09438283231775757
ss_svm_rbf,0.0,0.0,0.0,0.0
