protocol,target_batch,model_name,tuning_policy,train_batches,n_train_full,n_val_inner,n_test,selected_C,selected_gamma,best_val_macro_f1_fixed6,macro_f1_fixed6,macro_f1_present,accuracy,balanced_accuracy
B_rolling_update,4,power_yeojohnson_svm,holdout_latest_train_batch_3,"[1, 2, 3]",3275,1586,161,50.0,0.0078125,0.8055865235486729,0.7680260915555032,0.9216313098666038,0.9006211180124224,0.9145833333333332
B_rolling_update,4,quantile_normal_svm,holdout_latest_train_batch_3,"[1, 2, 3]",3275,1586,161,50.0,0.01,0.7585994785034366,0.7524654546858113,0.9029585456229736,0.8695652173913043,0.8989583333333332
B_rolling_update,4,ratio_median_svm,holdout_latest_train_batch_3,"[1, 2, 3]",3275,1586,161,50.0,0.001,0.8046244046089047,0.7064254970280794,0.8477105964336953,0.8633540372670807,0.8927810077519378
B_rolling_update,4,robust_svm_rbf,holdout_latest_train_batch_3,"[1, 2, 3]",3275,1586,161,50.0,0.001,0.8007420183476283,0.714528735632184,0.8574344827586208,0.8633540372670807,0.8958333333333333
B_rolling_update,4,routear_combined_svm,holdout_latest_train_batch_3,"[1, 2, 3]",3275,1586,161,50.0,0.001,0.8221636033664192,0.7680260915555032,0.9216313098666038,0.9006211180124224,0.9145833333333332
B_rolling_update,4,signed_log_abs_svm,holdout_latest_train_batch_3,"[1, 2, 3]",3275,1586,161,10.0,0.00390625,0.8030357725322578,0.7806523541817659,0.936782825018119,0.9316770186335404,0.9302083333333332
B_rolling_update,4,ss_svm_rbf,holdout_latest_train_batch_3,"[1, 2, 3]",3275,1586,161,50.0,0.001,0.8046244046089047,0.7064254970280794,0.8477105964336953,0.8633540372670807,0.8927810077519378
B_rolling_update,5,power_yeojohnson_svm,holdout_latest_train_batch_4,"[1, 2, 3, 4]",3436,161,197,1.0,0.00390625,0.7840036257812127,0.8140913276098045,0.9769095931317654,0.9796954314720813,0.9736507936507935
B_rolling_update,5,quantile_normal_svm,holdout_latest_train_batch_4,"[1, 2, 3, 4]",3436,161,197,50.0,0.001,0.8079004329004329,0.8277474931018238,0.9932969917221885,0.9949238578680203,0.99
B_rolling_update,5,ratio_median_svm,holdout_latest_train_batch_4,"[1, 2, 3, 4]",3436,161,197,1.0,0.01,0.7722294166738611,0.7962070074485602,0.9554484089382722,0.9543147208121827,0.9566666666666667
B_rolling_update,5,robust_svm_rbf,holdout_latest_train_batch_4,"[1, 2, 3, 4]",3436,161,197,50.0,0.00390625,0.7555918367346939,0.8120180703426246,0.9744216844111495,0.9746192893401016,0.9773015873015873
B_rolling_update,5,routear_combined_svm,holdout_latest_train_batch_4,"[1, 2, 3, 4]",3436,161,197,1.0,0.00390625,0.7683182123484066,0.8203437377563013,0.9844124853075616,0.9847715736040609,0.9836507936507937
B_rolling_update,5,signed_log_abs_svm,holdout_latest_train_batch_4,"[1, 2, 3, 4]",3436,161,197,10.0,0.00390625,0.7806523541817659,0.8203437377563013,0.9844124853075616,0.9847715736040609,0.9836507936507937
B_rolling_update,5,ss_svm_rbf,holdout_latest_train_batch_4,"[1, 2, 3, 4]",3436,161,197,1.0,0.01,0.7722294166738611,0.7962070074485602,0.9554484089382722,0.9543147208121827,0.9566666666666667
B_rolling_update,6,power_yeojohnson_svm,holdout_latest_train_batch_5,"[1, 2, 3, 4, 5]",3633,197,2300,50.0,0.001,0.8277474931018238,0.6297272880089542,0.6297272880089542,0.7365217391304347,0.7817403181091439
B_rolling_update,6,quantile_normal_svm,holdout_latest_train_batch_5,"[1, 2, 3, 4, 5]",3633,197,2300,10.0,0.001,0.8277474931018238,0.634411728096988,0.634411728096988,0.7208695652173913,0.7714963667491629
B_rolling_update,6,ratio_median_svm,holdout_latest_train_batch_5,"[1, 2, 3, 4, 5]",3633,197,2300,1.0,0.001,0.8172134090748403,0.5074446049329545,0.5074446049329545,0.6147826086956522,0.7038495345487584
B_rolling_update,6,robust_svm_rbf,holdout_latest_train_batch_5,"[1, 2, 3, 4, 5]",3633,197,2300,1.0,0.001,0.8172134090748403,0.3713838587289187,0.3713838587289187,0.46304347826086956,0.5864852102965418
B_rolling_update,6,routear_combined_svm,holdout_latest_train_batch_5,"[1, 2, 3, 4, 5]",3633,197,2300,10.0,0.001,0.8234903498061392,0.6604386627249601,0.6604386627249601,0.7552173913043478,0.794363793000187
B_rolling_update,6,signed_log_abs_svm,holdout_latest_train_batch_5,"[1, 2, 3, 4, 5]",3633,197,2300,50.0,0.001,0.8277474931018238,0.6128904415021057,0.6128904415021057,0.7260869565217392,0.7694012605666716
B_rolling_update,6,ss_svm_rbf,holdout_latest_train_batch_5,"[1, 2, 3, 4, 5]",3633,197,2300,1.0,0.001,0.8172134090748403,0.5074446049329545,0.5074446049329545,0.6147826086956522,0.7038495345487584
B_rolling_update,7,power_yeojohnson_svm,holdout_latest_train_batch_6,"[1, 2, 3, 4, 5, 6]",5933,2300,3613,10.0,0.001,0.639239122766246,0.8144895644160388,0.8144895644160388,0.8283974536396347,0.8417775770513162
B_rolling_update,7,quantile_normal_svm,holdout_latest_train_batch_6,"[1, 2, 3, 4, 5, 6]",5933,2300,3613,10.0,0.001,0.634411728096988,0.8316834259553533,0.8316834259553533,0.844173816772765,0.8586815868627831
B_rolling_update,7,ratio_median_svm,holdout_latest_train_batch_6,"[1, 2, 3, 4, 5, 6]",5933,2300,3613,50.0,0.00390625,0.6423562298002489,0.8790961507806578,0.8790961507806578,0.880708552449488,0.8911649878661749
B_rolling_update,7,robust_svm_rbf,holdout_latest_train_batch_6,"[1, 2, 3, 4, 5, 6]",5933,2300,3613,50.0,0.001,0.6185997306624041,0.8070590184634902,0.8070590184634902,0.8206476612233601,0.8347201788989613
B_rolling_update,7,routear_combined_svm,holdout_latest_train_batch_6,"[1, 2, 3, 4, 5, 6]",5933,2300,3613,10.0,0.001,0.6604386627249601,0.9168787293473959,0.9168787293473959,0.9130916136174924,0.9141945932163162
B_rolling_update,7,signed_log_abs_svm,holdout_latest_train_batch_6,"[1, 2, 3, 4, 5, 6]",5933,2300,3613,1.0,0.0078125,0.6348879119592331,0.7979212642091958,0.7979212642091958,0.8054248546913922,0.820131481842068
B_rolling_update,7,ss_svm_rbf,holdout_latest_train_batch_6,"[1, 2, 3, 4, 5, 6]",5933,2300,3613,50.0,0.00390625,0.6423562298002489,0.8790961507806578,0.8790961507806578,0.880708552449488,0.8911649878661749
