model_name,n_targets,mean_macro_f1_fixed,range_fixed,mean_macro_f1_present,mean_accuracy,mean_balanced_accuracy,delta_vs_ss_mean,wins,losses,ties,ref_mean_macro_f1_fixed,ref_mean_macro_f1_present,ref_mean_accuracy,ref_mean_balanced_accuracy,ref_delta_vs_ss_mean,abs_diff_mean_macro_f1_fixed,abs_diff_mean_macro_f1_present,abs_diff_mean_accuracy,abs_diff_mean_balanced_accuracy,abs_diff_delta_vs_ss_mean
power_yeojohnson_svm,9,0.7883903286911473,0.642-0.928,0.8414987690386726,0.8648709028810205,0.8640017867502389,0.0437651697259235,7,2,0,0.7853842143707224,0.8383537122705477,0.8710750579773542,0.861139817277929,0.062419501053502,0.0030061143204249685,0.003145056768124932,0.006204155096333652,0.0028619694723098776,0.018654331327578495
signed_log_abs_svm,9,0.7583738054837736,0.595-0.859,0.8108668145746191,0.8440872775766801,0.8490112995811308,0.0137486465185498,6,3,0,0.7761512643765617,0.8291233236777831,0.8653182486151191,0.8526403240612138,0.0531865510593413,0.017777458892788034,0.01825650910316401,0.02123097103843896,0.003629024480083065,0.039437904540791505
routear_combined_svm,9,0.7678477658994118,0.640-0.847,0.8215460869627768,0.8551962657809941,0.8504675562548102,0.023222606934188,6,3,0,0.7728967491921742,0.8250603629433929,0.8542625672284113,0.8525194261200304,0.0499320358749539,0.005048983292762377,0.003514275980616155,0.0009336985525827401,0.0020518698652202128,0.0267094289407659
quantile_normal_svm,9,0.7603215049523102,0.633-0.942,0.8129822543577434,0.8340341636697367,0.8471666672853965,0.0156963459870864,6,3,0,0.7385422607994946,0.7896406874532109,0.8062607323743811,0.8231582388019157,0.0155775474822742,0.021779244152815624,0.023341566904532485,0.02777343129535559,0.024008428483480726,0.00011879850481219881
ratio_median_svm,9,0.7446251589652237,0.573-0.900,0.7955033965411629,0.8113911480115057,0.8262400567486456,0.0,0,0,9,0.7229647133172203,0.7735277633270025,0.8051990690336803,0.8189247558436019,0.0,0.0216604456480034,0.021975633214160406,0.006192078977825366,0.007315300905043731,0.0
ss_svm_rbf,9,0.7446251589652237,0.573-0.900,0.7955033965411629,0.8113911480115057,0.8262400567486456,0.0,0,0,9,0.7229647133172203,0.7735277633270025,0.8051990690336803,0.8189247558436019,0.0,0.0216604456480034,0.021975633214160406,0.006192078977825366,0.007315300905043731,0.0
robust_svm_rbf,9,0.7270639105298861,0.487-0.881,0.7788823436163967,0.7919037955304836,0.8143195098599281,-0.0175612484353376,3,6,0,0.6796455483069249,0.730246652205506,0.7377068404818496,0.7805503262122186,-0.0433191650102954,0.04741836222296114,0.04863569141089075,0.05419695504863398,0.03376918364770942,0.025757916574957802
