protocol,target_batch,tuning_policy,train_batches,inner_train_batches,inner_val_batches,model_name,C,gamma,val_macro_f1_fixed6
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,10.0,0.00390625,1.0
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,10.0,0.0078125,1.0
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,10.0,0.01,1.0
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,50.0,0.001,1.0
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,50.0,0.00390625,1.0
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,50.0,0.0078125,1.0
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],quantile_normal_svm,50.0,0.01,1.0
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ratio_median_svm,1.0,0.001,0.8008052271490217
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ratio_median_svm,1.0,0.00390625,0.8918555891696235
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ratio_median_svm,1.0,0.0078125,0.9473444333397126
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ratio_median_svm,1.0,0.01,0.9473444333397126
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ratio_median_svm,10.0,0.001,0.9473444333397126
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ratio_median_svm,10.0,0.00390625,0.946808615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ratio_median_svm,10.0,0.0078125,0.9700307560260354
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ratio_median_svm,10.0,0.01,0.9700307560260354
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ratio_median_svm,50.0,0.001,0.9380358180761407
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ratio_median_svm,50.0,0.00390625,0.990558615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ratio_median_svm,50.0,0.0078125,0.990558615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ratio_median_svm,50.0,0.01,0.990558615263572
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ss_svm_rbf,1.0,0.001,0.8008052271490217
