protocol,target_batch,tuning_policy,train_batches,inner_train_batches,inner_val_batches,model_name,C,gamma,val_macro_f1_fixed6
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],robust_svm_rbf,50.0,0.01,0.9912219912219912
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,1.0,0.001,0.9474618087521313
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,1.0,0.00390625,0.9710199710199711
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,1.0,0.0078125,0.9710199710199711
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,1.0,0.01,0.9710199710199711
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,10.0,0.001,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,10.0,0.00390625,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,10.0,0.0078125,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,10.0,0.01,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,50.0,0.001,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,50.0,0.00390625,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,50.0,0.0078125,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],routear_combined_svm,50.0,0.01,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,1.0,0.001,0.9562499999999999
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,1.0,0.00390625,0.9469259906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,1.0,0.0078125,0.9469259906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,1.0,0.01,0.970148131438454
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,10.0,0.001,1.0
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,10.0,0.00390625,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,10.0,0.0078125,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,10.0,0.01,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,50.0,0.001,1.0
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,50.0,0.00390625,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,50.0,0.0078125,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],signed_log_abs_svm,50.0,0.01,0.9906759906759907
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ss_svm_rbf,1.0,0.001,0.8093177984139247
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ss_svm_rbf,1.0,0.00390625,0.9210648148148147
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ss_svm_rbf,1.0,0.0078125,0.9224466008100941
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ss_svm_rbf,1.0,0.01,0.9224466008100941
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ss_svm_rbf,10.0,0.001,0.9224466008100941
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ss_svm_rbf,10.0,0.00390625,0.9706941319844545
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ss_svm_rbf,10.0,0.0078125,0.9718030507504191
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ss_svm_rbf,10.0,0.01,0.9912219912219912
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ss_svm_rbf,50.0,0.001,0.9718030507504191
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ss_svm_rbf,50.0,0.00390625,0.9912219912219912
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ss_svm_rbf,50.0,0.0078125,0.9912219912219912
B_rolling_update,2,row_level_stratified_fallback_single_train_batch,[1],[1],[1],ss_svm_rbf,50.0,0.01,0.9912219912219912
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],power_yeojohnson_svm,1.0,0.001,0.6824416392672807
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],power_yeojohnson_svm,1.0,0.00390625,0.7086721477643879
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],power_yeojohnson_svm,1.0,0.0078125,0.6544974047221107
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],power_yeojohnson_svm,1.0,0.01,0.6630713620053886
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],power_yeojohnson_svm,10.0,0.001,0.6149488761000707
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],power_yeojohnson_svm,10.0,0.00390625,0.7121797705614288
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],power_yeojohnson_svm,10.0,0.0078125,0.715118152036263
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],power_yeojohnson_svm,10.0,0.01,0.7083809301118148
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],power_yeojohnson_svm,50.0,0.001,0.7018761323510256
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],power_yeojohnson_svm,50.0,0.00390625,0.7256659314791544
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],power_yeojohnson_svm,50.0,0.0078125,0.7215313714884348
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],power_yeojohnson_svm,50.0,0.01,0.6962597179906026
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],quantile_normal_svm,1.0,0.001,0.605695289701847
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],quantile_normal_svm,1.0,0.00390625,0.6728707958430373
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],quantile_normal_svm,1.0,0.0078125,0.5492327878714496
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],quantile_normal_svm,1.0,0.01,0.5445805223595953
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],quantile_normal_svm,10.0,0.001,0.44843846631970324
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],quantile_normal_svm,10.0,0.00390625,0.6697400681118912
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],quantile_normal_svm,10.0,0.0078125,0.6446670210835933
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],quantile_normal_svm,10.0,0.01,0.6497227669021503
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],quantile_normal_svm,50.0,0.001,0.5024623642499461
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],quantile_normal_svm,50.0,0.00390625,0.6456395444753492
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],quantile_normal_svm,50.0,0.0078125,0.6448175725937172
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],quantile_normal_svm,50.0,0.01,0.6497227669021503
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ratio_median_svm,1.0,0.001,0.5153907710192911
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ratio_median_svm,1.0,0.00390625,0.577316121162909
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ratio_median_svm,1.0,0.0078125,0.6209486893467097
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ratio_median_svm,1.0,0.01,0.622273144648392
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ratio_median_svm,10.0,0.001,0.5165204149090327
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ratio_median_svm,10.0,0.00390625,0.47601013399125347
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ratio_median_svm,10.0,0.0078125,0.5358945815379147
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ratio_median_svm,10.0,0.01,0.5396046758124388
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ratio_median_svm,50.0,0.001,0.4181818443427195
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ratio_median_svm,50.0,0.00390625,0.5424484723681018
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ratio_median_svm,50.0,0.0078125,0.6743877159283964
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],ratio_median_svm,50.0,0.01,0.6837795052735199
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],robust_svm_rbf,1.0,0.001,0.3843900748302412
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],robust_svm_rbf,1.0,0.00390625,0.4935550943965517
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],robust_svm_rbf,1.0,0.0078125,0.5834607459690054
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],robust_svm_rbf,1.0,0.01,0.625539361140569
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],robust_svm_rbf,10.0,0.001,0.5569559187212488
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],robust_svm_rbf,10.0,0.00390625,0.5441053679555686
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],robust_svm_rbf,10.0,0.0078125,0.5236336940725607
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],robust_svm_rbf,10.0,0.01,0.5508966452290943
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],robust_svm_rbf,50.0,0.001,0.5134032381901964
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],robust_svm_rbf,50.0,0.00390625,0.5252338201923195
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],robust_svm_rbf,50.0,0.0078125,0.5852069447211119
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],robust_svm_rbf,50.0,0.01,0.5997582771764521
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],routear_combined_svm,1.0,0.001,0.7577148567964652
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],routear_combined_svm,1.0,0.00390625,0.738765140563228
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],routear_combined_svm,1.0,0.0078125,0.7089832493418055
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],routear_combined_svm,1.0,0.01,0.7031839936730817
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],routear_combined_svm,10.0,0.001,0.742930489684896
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],routear_combined_svm,10.0,0.00390625,0.7429364401356997
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],routear_combined_svm,10.0,0.0078125,0.7193475637193602
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],routear_combined_svm,10.0,0.01,0.7154028448474431
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],routear_combined_svm,50.0,0.001,0.7493154005394395
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],routear_combined_svm,50.0,0.00390625,0.7251454348446944
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],routear_combined_svm,50.0,0.0078125,0.7193475637193602
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],routear_combined_svm,50.0,0.01,0.7154028448474431
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],signed_log_abs_svm,1.0,0.001,0.7031180870683095
B_rolling_update,3,holdout_latest_train_batch_2,"[1, 2]",[1],[2],signed_log_abs_svm,1.0,0.00390625,0.7290040044972551
