model_name,n_targets,weighted_mean_macro_f1,mean_macro_f1,weighted_mean_macro_f1_present,weighted_mean_accuracy,weighted_mean_delta_macro_f1_vs_ss,mean_delta_macro_f1_vs_ss,wins_vs_ss,losses_vs_ss,ties_vs_ss
routea_core_svm,9,0.7440407336066276,0.7583738054837736,0.7672319333609202,0.8044559970293353,0.008346793337084595,0.013748646518549876,6,3,0
routear_blockcomp_svm,9,0.6499079035168183,0.7112016772388043,0.6705403017672829,0.7107315261789825,-0.08578603675272478,-0.03342348172641937,5,4,0
routear_combined_svm,9,0.753654947499499,0.7678477658994118,0.7772259703481594,0.8126995915336056,0.017961007229956097,0.02322260693418807,6,3,0
routear_combined_svm_noscaler,9,0.727943900833245,0.7516887268826418,0.7509376296772285,0.7706646862235426,-0.007750039436298052,0.0070635679174179365,5,4,0
ss_svm_rbf,9,0.735693940269543,0.7446251589652237,0.7579366274919586,0.7784626810248794,0.0,0.0,0,0,9
