target_batch,n_test,n_classes_present,missing_labels,routear_fixed6,routear_present,ss_fixed6,ss_present,routear_delta_fixed6,routear_delta_present,support_min,support_max
2,1244,6,,0.742930489684896,0.742930489684896,0.5396046758124388,0.5396046758124388,0.20332581387245718,0.20332581387245718,5,532
3,1586,5,6,0.758992789493036,0.9107913473916432,0.7727047459635527,0.9272456951562632,-0.013711956470516706,-0.01645434776461996,216,490
4,161,5,6,0.7680260915555032,0.9216313098666038,0.7064254970280794,0.8477105964336953,0.061600594527423724,0.07392071343290851,12,64
5,197,5,6,0.8203437377563013,0.9844124853075616,0.7962070074485602,0.9554484089382722,0.024136730307741106,0.028964076369289438,20,63
6,2300,6,,0.6604386627249601,0.6604386627249601,0.5074446049329545,0.5074446049329545,0.1529940577920056,0.1529940577920056,29,606
7,3613,6,,0.916878729347396,0.916878729347396,0.8790961507806578,0.8790961507806578,0.03778257856673817,0.03778257856673817,360,744
8,294,6,,0.896992991478652,0.896992991478652,0.8474887558252148,0.8474887558252148,0.0495042356534372,0.0495042356534372,18,143
9,470,6,,0.7365598396883151,0.7365598396883151,0.7434872338040502,0.7434872338040502,-0.006927394115735175,-0.006927394115735175,55,101
10,3600,6,,0.654907411000509,0.654907411000509,0.7142237482594749,0.7142237482594749,-0.0593163372589659,-0.0593163372589659,600,600
