dataset,protocol,target_batch,model_name,split_type,n_train,n_val,n_test,macro_f1,macro_f1_present,accuracy,balanced_accuracy,late_early_bucket,notes
uci270,A_cold_batch_transfer,10,routear_combined_svm_noscaler,exploratory,356,89,3600,0.3852727312647803,0.3852727312647803,0.4538888888888889,0.45388888888888895,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,2,routear_logratio_svm,confirmatory,356,89,1244,0.6787102190068945,0.6787102190068945,0.7612540192926045,0.733006442643779,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,3,routear_logratio_svm,confirmatory,356,89,1586,0.4441892849380556,0.5330271419256667,0.6494325346784363,0.5566526329363902,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,4,routear_logratio_svm,confirmatory,356,89,161,0.2335628227194492,0.28027538726333906,0.4472049689440994,0.2829941860465116,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,5,routear_logratio_svm,confirmatory,356,89,197,0.21833035856804958,0.2619964302816595,0.3350253807106599,0.38634920634920633,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,6,routear_logratio_svm,confirmatory,356,89,2300,0.23933875609740463,0.23933875609740463,0.46391304347826084,0.32723577235772355,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,7,routear_logratio_svm,confirmatory,356,89,3613,0.3018877491315594,0.3018877491315594,0.373097149183504,0.3701046212375518,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,8,routear_logratio_svm,confirmatory,356,89,294,0.2266559011842031,0.2266559011842031,0.19727891156462585,0.30416666666666664,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,9,routear_logratio_svm,confirmatory,356,89,470,0.3693436960276339,0.3693436960276339,0.43829787234042555,0.4696969696969697,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,10,routear_logratio_svm,confirmatory,356,89,3600,0.33266069434822265,0.33266069434822265,0.3913888888888889,0.39138888888888884,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,2,routear_blockcomp_svm,exploratory,356,89,1244,0.6999069247898891,0.6999069247898891,0.8745980707395499,0.8097886571899834,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,3,routear_blockcomp_svm,exploratory,356,89,1586,0.5175847760391278,0.6211017312469533,0.6424968474148802,0.6110746995629579,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,4,routear_blockcomp_svm,exploratory,356,89,161,0.35011776753712237,0.4201413210445469,0.36645962732919257,0.46279069767441855,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,5,routear_blockcomp_svm,exploratory,356,89,197,0.3904116660214221,0.4684939992257065,0.6294416243654822,0.5092477570738441,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,6,routear_blockcomp_svm,exploratory,356,89,2300,0.42222588855666454,0.42222588855666454,0.6052173913043478,0.4461655437832979,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,7,routear_blockcomp_svm,exploratory,356,89,3613,0.37263606307623465,0.37263606307623465,0.39828397453639636,0.41680989309916683,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,8,routear_blockcomp_svm,exploratory,356,89,294,0.1010384012539185,0.1010384012539185,0.19387755102040816,0.19203574203574206,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,9,routear_blockcomp_svm,exploratory,356,89,470,0.46830422012800094,0.46830422012800094,0.40425531914893614,0.4464529914529915,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,10,routear_blockcomp_svm,exploratory,356,89,3600,0.3466863548937033,0.3466863548937033,0.38083333333333336,0.3808333333333333,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,2,coral_svm,exploratory,356,89,1244,0.4376146301790222,0.4376146301790222,0.5570739549839229,0.5646319409594528,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,3,coral_svm,exploratory,356,89,1586,0.5488540512487703,0.6586248614985244,0.6809583858764187,0.6250580250364985,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,4,coral_svm,exploratory,356,89,161,0.5180016440886006,0.6216019729063207,0.6521739130434783,0.6266957364341086,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,5,coral_svm,exploratory,356,89,197,0.3363006029285099,0.4035607235142119,0.3604060913705584,0.4280952380952382,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,6,coral_svm,exploratory,356,89,2300,0.411481467314976,0.411481467314976,0.5352173913043479,0.4918712865940083,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,7,coral_svm,exploratory,356,89,3613,0.4885427905532247,0.4885427905532247,0.4937724882369222,0.501439856717445,mid,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,8,coral_svm,exploratory,356,89,294,0.3725241431720013,0.3725241431720013,0.30612244897959184,0.45595700595700595,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,9,coral_svm,exploratory,356,89,470,0.2865029171312315,0.2865029171312315,0.3276595744680851,0.36602455831964026,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,10,coral_svm,exploratory,356,89,3600,0.46189388903534917,0.46189388903534917,0.4736111111111111,0.47361111111111104,late,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,2,routea_core_svm,exploratory,356,89,1244,0.5367208552708603,0.5367208552708603,0.6527331189710611,0.5859050826149417,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
uci270,A_cold_batch_transfer,3,routea_core_svm,exploratory,356,89,1586,0.2895650334294705,0.3474780401153646,0.47540983606557374,0.3681098441313706,early,Protocol A cold-start; confirmatory SVM-family models use fixed preregistered params (no inner tuning)
