protocol,target_batch,model_name,tuning_policy,train_batches,n_train_full,n_val_inner,n_test,selected_C,selected_gamma,best_val_macro_f1_fixed6,macro_f1_fixed6,macro_f1_present,accuracy,balanced_accuracy,macro_f1_ss,delta_vs_ss
B_rolling_update,8,ratio_median_svm,holdout_latest_train_batch_7,"[1, 2, 3, 4, 5, 6, 7]",9546,3613,294,10.0,0.001,0.9032629274353753,0.8474887558252148,0.8474887558252148,0.8605442176870748,0.8762529137529137,0.8474887558252148,0.0
B_rolling_update,9,ratio_median_svm,holdout_latest_train_batch_8,"[1, 2, 3, 4, 5, 6, 7, 8]",9840,294,470,10.0,0.00390625,0.9062183421799924,0.7434872338040502,0.7434872338040502,0.7617021276595745,0.8072761664564944,0.7434872338040502,0.0
B_rolling_update,10,ratio_median_svm,holdout_latest_train_batch_9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",10310,470,3600,50.0,0.01,0.7547349965125466,0.7142237482594749,0.7142237482594749,0.7191666666666666,0.7191666666666667,0.7142237482594749,0.0
B_rolling_update,2,robust_svm_rbf,row_level_stratified_fallback_single_train_batch,[1],445,89,1244,50.0,0.00390625,0.9912219912219912,0.5252338201923195,0.5252338201923195,0.5104501607717041,0.5742707753978749,0.5396046758124388,-0.014370855620119305
B_rolling_update,3,robust_svm_rbf,holdout_latest_train_batch_2,"[1, 2]",1689,1244,1586,1.0,0.01,0.625539361140569,0.7505028694613363,0.9006034433536035,0.9060529634300126,0.8997636899231811,0.7727047459635527,-0.02220187650221639
B_rolling_update,4,robust_svm_rbf,holdout_latest_train_batch_3,"[1, 2, 3]",3275,1586,161,50.0,0.001,0.8007420183476283,0.714528735632184,0.8574344827586208,0.8633540372670807,0.8958333333333333,0.7064254970280794,0.008103238604104557
B_rolling_update,5,robust_svm_rbf,holdout_latest_train_batch_4,"[1, 2, 3, 4]",3436,161,197,50.0,0.00390625,0.7555918367346939,0.8120180703426246,0.9744216844111495,0.9746192893401016,0.9773015873015873,0.7962070074485602,0.01581106289406442
B_rolling_update,6,robust_svm_rbf,holdout_latest_train_batch_5,"[1, 2, 3, 4, 5]",3633,197,2300,1.0,0.001,0.8172134090748403,0.3713838587289187,0.3713838587289187,0.46304347826086956,0.5864852102965418,0.5074446049329545,-0.1360607462040358
B_rolling_update,7,robust_svm_rbf,holdout_latest_train_batch_6,"[1, 2, 3, 4, 5, 6]",5933,2300,3613,50.0,0.001,0.6185997306624041,0.8070590184634902,0.8070590184634902,0.8206476612233601,0.8347201788989613,0.8790961507806578,-0.07203713231716768
B_rolling_update,8,robust_svm_rbf,holdout_latest_train_batch_7,"[1, 2, 3, 4, 5, 6, 7]",9546,3613,294,10.0,0.001,0.8303888444813313,0.7368402941574237,0.7368402941574237,0.673469387755102,0.7832977207977209,0.8474887558252148,-0.11064846166779108
B_rolling_update,9,robust_svm_rbf,holdout_latest_train_batch_8,"[1, 2, 3, 4, 5, 6, 7, 8]",9840,294,470,10.0,0.00390625,0.8929675687969122,0.741030785005484,0.741030785005484,0.7574468085106383,0.8030026621829901,0.7434872338040502,-0.002456448798566213
B_rolling_update,10,robust_svm_rbf,holdout_latest_train_batch_9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",10310,470,3600,50.0,0.01,0.757203749877657,0.6582124827785435,0.6582124827785435,0.6702777777777778,0.6702777777777778,0.7142237482594749,-0.05601126548093138
B_rolling_update,2,routear_combined_svm,row_level_stratified_fallback_single_train_batch,[1],445,89,1244,10.0,0.001,0.9906759906759907,0.742930489684896,0.742930489684896,0.8890675241157556,0.7779375322342661,0.5396046758124388,0.20332581387245718
B_rolling_update,3,routear_combined_svm,holdout_latest_train_batch_2,"[1, 2]",1689,1244,1586,1.0,0.001,0.7577148567964652,0.758992789493036,0.9107913473916431,0.9148802017654477,0.9222642664648536,0.7727047459635527,-0.013711956470516706
B_rolling_update,4,routear_combined_svm,holdout_latest_train_batch_3,"[1, 2, 3]",3275,1586,161,50.0,0.001,0.8221636033664192,0.7680260915555032,0.9216313098666038,0.9006211180124224,0.9145833333333332,0.7064254970280794,0.061600594527423724
B_rolling_update,5,routear_combined_svm,holdout_latest_train_batch_4,"[1, 2, 3, 4]",3436,161,197,1.0,0.00390625,0.7683182123484066,0.8203437377563013,0.9844124853075616,0.9847715736040609,0.9836507936507937,0.7962070074485602,0.024136730307741106
B_rolling_update,6,routear_combined_svm,holdout_latest_train_batch_5,"[1, 2, 3, 4, 5]",3633,197,2300,10.0,0.001,0.8234903498061392,0.6604386627249601,0.6604386627249601,0.7552173913043478,0.794363793000187,0.5074446049329545,0.1529940577920056
B_rolling_update,7,routear_combined_svm,holdout_latest_train_batch_6,"[1, 2, 3, 4, 5, 6]",5933,2300,3613,10.0,0.001,0.6604386627249601,0.9168787293473959,0.9168787293473959,0.9130916136174924,0.9141945932163162,0.8790961507806578,0.037782578566738056
B_rolling_update,8,routear_combined_svm,holdout_latest_train_batch_7,"[1, 2, 3, 4, 5, 6, 7]",9546,3613,294,10.0,0.001,0.9168787293473959,0.896992991478652,0.896992991478652,0.9183673469387755,0.9054454804454805,0.8474887558252148,0.0495042356534372
B_rolling_update,9,routear_combined_svm,holdout_latest_train_batch_8,"[1, 2, 3, 4, 5, 6, 7, 8]",9840,294,470,50.0,0.001,0.900388117587467,0.7365598396883151,0.7365598396883151,0.7659574468085106,0.8138461538461539,0.7434872338040502,-0.006927394115735175
B_rolling_update,10,routear_combined_svm,holdout_latest_train_batch_9,"[1, 2, 3, 4, 5, 6, 7, 8, 9]",10310,470,3600,1.0,0.001,0.743091319292878,0.654907411000509,0.654907411000509,0.6463888888888889,0.6463888888888889,0.7142237482594749,-0.0593163372589659
