model_name,n_targets,mean_macro_f1_fixed,range_fixed,mean_macro_f1_present,mean_accuracy,mean_balanced_accuracy,delta_vs_ss_mean,wins,losses,ties
power_yeojohnson_svm,9,0.7883903286911473,0.642-0.928,0.8414987690386726,0.8648709028810205,0.8640017867502389,0.04376516972592358,7,2,0
signed_log_abs_svm,9,0.7583738054837736,0.595-0.859,0.8108668145746191,0.8440872775766801,0.8490112995811308,0.013748646518549876,6,3,0
routear_combined_svm,9,0.7678477658994118,0.640-0.847,0.8215460869627768,0.8551962657809941,0.8504675562548102,0.02322260693418807,6,3,0
quantile_normal_svm,9,0.7603215049523102,0.633-0.942,0.8129822543577434,0.8340341636697367,0.8471666672853965,0.015696345987086482,6,3,0
ratio_median_svm,9,0.7446251589652237,0.573-0.900,0.7955033965411629,0.8113911480115057,0.8262400567486456,0.0,0,0,9
ss_svm_rbf,9,0.7446251589652237,0.573-0.900,0.7955033965411629,0.8113911480115057,0.8262400567486456,0.0,0,0,9
robust_svm_rbf,9,0.7270639105298861,0.487-0.881,0.7788823436163967,0.7919037955304836,0.8143195098599281,-0.017561248435337642,3,6,0
