window_start_nm,window_end_nm,n_features,logo_mean_rmse_delta,logo_median_rmse_delta,logo_std_rmse_delta,logo_positive_rmse_delta_frequency,logo_mean_abs_prediction_shift_mg_L,logo_max_abs_prediction_shift_mg_L
400,409,10,0.8154205501785408,0.8261766935272399,1.4017205985901782,0.6923076923076923,1.2942577639843418,5.4991371222375705
470,479,10,0.7094483184083126,0.2866007330669906,1.495029343801902,0.7692307692307693,1.0137424280950664,6.207292979456568
480,489,10,0.7030315743342345,0.2076608630350363,1.5501981357949428,0.6923076923076923,0.9867752312782566,6.515508918037995
440,449,10,0.6990669255809361,0.7125366004043653,1.274203996717043,0.6923076923076923,1.1660543399387404,5.0295968751522935
490,499,10,0.6981436742644966,0.196153129018798,1.5819574649214747,0.6923076923076923,0.9966601093885672,6.712616177874793
500,509,10,0.6798821077744542,0.1035636571867957,1.5958977275977175,0.6923076923076923,0.9375110812063188,6.9504752008609785
410,419,10,0.6793913806720787,0.5781951456063156,1.2615429250011534,0.6923076923076923,1.0692801392512612,5.283181928236218
430,439,10,0.6673222660584978,0.5683628781106707,1.2779441296622598,0.6923076923076923,1.09584427767279,5.159405646220279
510,519,10,0.6670658827004515,0.0499347395225286,1.5831265474365026,0.6923076923076923,0.8765405410229966,7.125739379642084
460,469,10,0.6489342528912279,0.339509612216257,1.3324960965904673,0.7692307692307693,0.9608509610633464,5.7280099664828725
450,459,10,0.6419162461551953,0.538339472022856,1.241216387685612,0.6923076923076923,1.037284166652819,5.259890917472447
420,429,10,0.6201827960122105,0.4320475125039918,1.251382850301646,0.6923076923076923,0.9833331135605032,5.277653027129702
520,529,10,0.6012295616684373,0.0206081949234403,1.476985652356381,0.7692307692307693,0.7857910292971382,7.007258930359143
600,609,10,0.5970951428994373,-0.0009872732556612,1.494818340187266,0.4615384615384615,0.7784670345379551,7.003704181928185
590,599,10,0.549489854412733,0.0022335837644438,1.394479713586497,0.5384615384615384,0.7302967027502737,6.793925519098025
610,619,10,0.546252877892016,-0.0048278247265268,1.4512962508519982,0.4615384615384615,0.7589456430193814,6.840289314363318
580,589,10,0.5261876226170169,0.0062090306106322,1.3629045759288143,0.6153846153846154,0.696060150316026,6.794389349229803
570,579,10,0.5167401476312371,0.0134426233642141,1.3509156539335303,0.6923076923076923,0.6752389096142302,6.808581229664839
620,629,10,0.4975714924687014,0.0268276569447405,1.3625909043066102,0.6153846153846154,0.7458970232475898,6.57734265528569
560,569,10,0.4907478845449184,0.0048121052686381,1.298514113521811,0.6923076923076923,0.634913650745423,6.633021183069332
630,639,10,0.4897737008313317,0.0166898105538622,1.3511686197515655,0.5384615384615384,0.7113528366397256,6.639440593686459
640,649,10,0.4670140524576319,0.0034319757046923,1.3325826709108506,0.5384615384615384,0.6991903236760635,6.498347635556968
550,559,10,0.4623493149668114,-0.0018318085214616,1.2372624318936254,0.4615384615384615,0.5996906883147654,6.3840087942495245
690,699,10,0.4483601594170054,-0.005544390246478,1.397571658349002,0.3846153846153846,0.832445579231668,6.061264114590927
530,539,10,0.4433022851274209,0.0168470353338044,1.1389351940284322,0.5384615384615384,0.6400265881381826,5.978955453769885
680,689,10,0.4383375184161519,-0.0803414714070762,1.2656448948630412,0.3846153846153846,0.7363948737152395,6.219136429596404
650,659,10,0.4351138389007266,0.0084615825442888,1.3027934803570034,0.5384615384615384,0.6650283759814895,6.35032805429384
540,549,10,0.4041026719772339,0.0506996791986886,1.19905839825631,0.5384615384615384,0.6987505059383844,6.065776557192848
660,669,10,0.3434097077561515,-0.0248530334425826,1.2217066781374928,0.3076923076923077,0.6278243878814647,6.032685189022871
670,679,10,0.294563839178625,-0.0454541847262348,1.1262826765054148,0.3846153846153846,0.6035510567992243,5.76380020542716
700,700,1,-0.0065030664835737,-0.0011751762332199,0.0893089316848009,0.4615384615384615,0.0854271449981067,0.4104614244419338
