config_label,boundary_id,low_upper_mg_L,mid_upper_mg_L,model_name,params_json,fit_status,error_message,validation_design,cv_accuracy,cv_balanced_accuracy,cv_macro_f1,cv_low_precision,cv_low_recall,cv_low_f1,cv_low_support,cv_mid_precision,cv_mid_recall,cv_mid_f1,cv_mid_support,cv_high_precision,cv_high_recall,cv_high_f1,cv_high_support,cv_n_errors
low_le_0.5__mid_le_5__LogisticRegression__002,low_le_0.5__mid_le_5,0.5,5.0,LogisticRegression,"{""model__C"": 0.1}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6153846153846154,0.5555555555555556,0.5622895622895623,0.3333333333333333,0.3333333333333333,0.3333333333333333,30.0,0.4,0.5,0.4444444444444444,40.0,1.0,0.8333333333333334,0.9090909090909092,60.0,50
low_le_0.5__mid_le_5__LogisticRegression__003,low_le_0.5__mid_le_5,0.5,5.0,LogisticRegression,"{""model__C"": 1.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.7384615384615385,0.7333333333333334,0.7112806586490797,0.5652173913043478,0.8666666666666667,0.6842105263157895,30.0,0.5882352941176471,0.5,0.5405405405405406,40.0,1.0,0.8333333333333334,0.9090909090909092,60.0,34
low_le_0.5__mid_le_5__SVC_RBF__004,low_le_0.5__mid_le_5,0.5,5.0,SVC_RBF,"{""model__C"": 1.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.5384615384615384,0.4722222222222221,0.4333333333333333,0.0,0.0,0.0,30.0,0.375,0.75,0.5,40.0,1.0,0.6666666666666666,0.8,60.0,60
low_le_0.5__mid_le_5__SVC_RBF__005,low_le_0.5__mid_le_5,0.5,5.0,SVC_RBF,"{""model__C"": 10.0}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.4923076923076923,0.4222222222222223,0.4186304531132117,0.25,0.3333333333333333,0.2857142857142857,30.0,0.1176470588235294,0.1,0.1081081081081081,40.0,0.8928571428571429,0.8333333333333334,0.8620689655172413,60.0,66
low_le_0.5__mid_le_5__KNeighborsClassifier__006,low_le_0.5__mid_le_5,0.5,5.0,KNeighborsClassifier,"{""model__n_neighbors"": 1}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.5461538461538461,0.5111111111111111,0.4506172839506173,0.4117647058823529,0.7,0.5185185185185185,30.0,0.0,0.0,0.0,40.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,60.0,59
low_le_0.5__mid_le_5__KNeighborsClassifier__007,low_le_0.5__mid_le_5,0.5,5.0,KNeighborsClassifier,"{""model__n_neighbors"": 3}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.5384615384615384,0.4972222222222222,0.4512022857325862,0.3877551020408163,0.6333333333333333,0.4810126582278481,30.0,0.0454545454545454,0.025,0.032258064516129,40.0,0.847457627118644,0.8333333333333334,0.8403361344537815,60.0,60
low_le_0.5__mid_le_5__RandomForestClassifier__008,low_le_0.5__mid_le_5,0.5,5.0,RandomForestClassifier,"{""model__min_samples_leaf"": 1, ""model__n_estimators"": 160}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.7461538461538462,0.7472222222222222,0.7180202954850842,0.5833333333333334,0.9333333333333332,0.717948717948718,30.0,0.6129032258064516,0.475,0.5352112676056338,40.0,0.9803921568627452,0.8333333333333334,0.9009009009009008,60.0,33
low_le_0.5__mid_le_5__GradientBoostingClassifier__009,low_le_0.5__mid_le_5,0.5,5.0,GradientBoostingClassifier,"{""model__learning_rate"": 0.05, ""model__max_depth"": 2, ""model__n_estimators"": 100}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6615384615384615,0.5944444444444444,0.573475135975136,0.4444444444444444,0.5333333333333333,0.4848484848484848,30.0,0.4166666666666667,0.25,0.3125,40.0,0.8571428571428571,1.0,0.9230769230769232,60.0,44
low_le_0.5__mid_le_7__PLSDA__000,low_le_0.5__mid_le_7,0.5,7.0,PLSDA,"{""model__n_components"": 2}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.6153846153846154,0.5333333333333333,0.5014245014245015,0.0,0.0,0.0,30.0,0.5,0.8,0.6153846153846154,50.0,1.0,0.8,0.8888888888888888,50.0,50
low_le_0.5__mid_le_7__PLSDA__001,low_le_0.5__mid_le_7,0.5,7.0,PLSDA,"{""model__n_components"": 5}",ok,,LeaveOneConcentrationOut on standard concentration labels; boundary search uses standard set only,0.3230769230769231,0.32,0.3337719298245614,0.18,0.3,0.225,30.0,0.2407407407407407,0.26,0.25,50.0,0.7692307692307693,0.4,0.5263157894736842,50.0,88
