score_type,threshold_source,gate_mode,quantile,delta_clip_quantile,g_co,g_eth,pass_rate_all_gates,mean_transition_improve_pct,mean_full_mae_delta,fallback_rate
endpoint_jump,train,ramp,0.85,1.00,1.25,0.50,0.300000,1.186219,-0.025892,0.400000
diff_mean_abs,train,ramp_sq,0.85,1.00,1.25,0.50,0.300000,1.167838,-0.033893,0.200000
diff_mean_abs,cal,ramp_sq,0.75,1.00,1.25,0.50,0.300000,1.158424,-0.102864,0.200000
hybrid,cal,ramp_sq,0.85,1.00,1.25,0.50,0.300000,1.128812,-0.033029,0.400000
hybrid,cal,ramp,0.80,1.00,1.25,0.50,0.300000,1.121359,-0.042255,0.400000
endpoint_jump,cal,ramp,0.80,1.00,1.25,0.50,0.300000,1.118214,-0.048597,0.300000
endpoint_jump,cal,ramp_sq,0.80,1.00,1.25,0.50,0.300000,1.104511,-0.044897,0.400000
endpoint_jump,train,binary,0.65,1.00,1.25,0.50,0.300000,1.018822,-0.076601,0.600000
diff_mean_abs,cal,ramp,0.75,0.90,1.25,0.50,0.300000,0.989006,-0.082049,0.300000
hybrid,cal,binary,0.85,0.90,1.25,0.50,0.300000,0.952198,-0.030582,0.600000
hybrid,cal,binary,0.60,0.90,1.25,0.50,0.300000,0.879644,-0.078859,0.600000
endpoint_jump,cal,ramp,0.75,1.00,1.25,0.50,0.300000,0.829951,-0.050692,0.300000
hybrid,train,binary,0.70,0.90,1.25,0.50,0.300000,0.722680,-0.044443,0.600000
endpoint_jump,cal,ramp,0.70,1.00,1.25,0.50,0.300000,0.721736,-0.052787,0.300000
endpoint_jump,cal,ramp,0.65,1.00,1.25,0.50,0.300000,0.591146,-0.054829,0.300000
endpoint_jump,train,binary,0.85,1.00,1.25,0.50,0.200000,2.058258,-0.036022,0.600000
endpoint_jump,cal,binary,0.85,1.00,1.25,0.50,0.200000,1.743452,-0.048187,0.600000
diff_mean_abs,cal,ramp,0.60,1.00,1.25,0.50,0.200000,1.606623,-0.223067,0.200000
diff_mean_abs,train,ramp,0.60,1.00,1.25,0.50,0.200000,1.373047,-0.165381,0.200000
hybrid,train,binary,0.80,1.00,1.25,0.50,0.200000,1.338634,-0.068737,0.500000
endpoint_jump,train,binary,0.80,1.00,1.25,0.50,0.200000,1.312850,-0.038624,0.600000
endpoint_jump,train,binary,0.75,1.00,1.25,0.50,0.200000,1.172065,-0.051029,0.600000
endpoint_jump,cal,binary,0.75,1.00,1.25,0.50,0.200000,1.130951,-0.071266,0.600000
hybrid,cal,binary,0.75,1.00,1.25,0.50,0.200000,1.117691,-0.069693,0.600000
diff_mean_abs,cal,ramp_sq,0.70,1.00,1.25,0.50,0.200000,1.106912,-0.113883,0.200000
diff_mean_abs,cal,ramp,0.85,0.90,1.25,0.50,0.200000,1.093031,-0.057670,0.200000
diff_mean_abs,cal,ramp_sq,0.65,1.00,1.25,0.50,0.200000,1.078451,-0.126521,0.200000
diff_mean_abs,cal,ramp_sq,0.60,1.00,1.25,0.50,0.200000,1.072314,-0.139909,0.200000
hybrid,train,ramp_sq,0.80,1.00,1.25,0.50,0.200000,1.066079,-0.041688,0.400000
hybrid,train,ramp,0.75,1.00,1.25,0.50,0.200000,1.058882,-0.054701,0.400000
endpoint_jump,train,binary,0.70,1.00,1.25,0.50,0.200000,1.031251,-0.062578,0.600000
endpoint_jump,cal,binary,0.70,1.00,1.25,0.50,0.200000,1.029544,-0.079170,0.600000
diff_mean_abs,cal,ramp,0.80,0.90,1.25,0.50,0.200000,1.026701,-0.071379,0.200000
diff_mean_abs,train,ramp_sq,0.80,1.00,1.25,0.50,0.200000,0.977631,-0.039962,0.200000
hybrid,cal,ramp,0.75,1.00,1.25,0.50,0.200000,0.977348,-0.044627,0.400000
diff_mean_abs,train,ramp,0.85,0.90,1.25,0.50,0.200000,0.975022,-0.030682,0.300000
diff_mean_abs,cal,ramp,0.70,0.90,1.25,0.50,0.200000,0.970419,-0.093436,0.300000
diff_mean_abs,cal,ramp,0.65,0.90,1.25,0.50,0.200000,0.960273,-0.105451,0.300000
diff_mean_abs,cal,ramp,0.60,0.90,1.25,0.50,0.200000,0.955908,-0.117156,0.300000
endpoint_jump,train,binary,0.60,1.00,1.25,0.50,0.200000,0.954609,-0.080241,0.600000
hybrid,cal,ramp_sq,0.80,1.00,1.25,0.50,0.200000,0.949951,-0.034045,0.400000
endpoint_jump,train,binary,0.85,0.90,1.25,0.50,0.200000,0.949220,-0.015357,0.600000
hybrid,train,ramp,0.70,1.00,1.25,0.50,0.200000,0.920943,-0.058147,0.400000
endpoint_jump,cal,binary,0.85,0.90,1.25,0.50,0.200000,0.913912,-0.022476,0.600000
hybrid,train,ramp_sq,0.75,1.00,1.25,0.50,0.200000,0.895715,-0.042911,0.400000
endpoint_jump,cal,binary,0.65,1.00,1.25,0.50,0.200000,0.894234,-0.084196,0.600000
endpoint_jump,cal,ramp_sq,0.75,1.00,1.25,0.50,0.200000,0.881276,-0.046352,0.400000
hybrid,train,binary,0.85,0.90,1.25,0.50,0.200000,0.875970,-0.033001,0.500000
hybrid,cal,ramp,0.70,1.00,1.25,0.50,0.200000,0.870870,-0.047509,0.400000
endpoint_jump,train,ramp,0.80,1.00,1.25,0.50,0.200000,0.851229,-0.028832,0.400000
diff_mean_abs,cal,ramp_sq,0.85,0.90,1.25,0.50,0.200000,0.848337,-0.038015,0.200000
hybrid,cal,ramp_sq,0.75,1.00,1.25,0.50,0.200000,0.818063,-0.034985,0.400000
endpoint_jump,cal,binary,0.60,1.00,1.25,0.50,0.200000,0.785386,-0.088452,0.600000
hybrid,cal,binary,0.80,0.90,1.25,0.50,0.200000,0.770324,-0.035144,0.600000
endpoint_jump,cal,ramp_sq,0.70,1.00,1.25,0.50,0.200000,0.767341,-0.047505,0.400000
diff_mean_abs,cal,ramp_sq,0.80,0.90,1.25,0.50,0.200000,0.762890,-0.045181,0.200000
hybrid,cal,ramp,0.65,1.00,1.25,0.50,0.200000,0.757730,-0.050984,0.400000
hybrid,train,ramp_sq,0.70,1.00,1.25,0.50,0.200000,0.754094,-0.044034,0.400000
hybrid,train,binary,0.75,0.90,1.25,0.50,0.200000,0.736343,-0.040385,0.500000
diff_mean_abs,train,ramp_sq,0.85,0.90,1.25,0.50,0.200000,0.729882,-0.017664,0.200000
hybrid,train,ramp,0.85,0.90,1.25,0.50,0.200000,0.718558,-0.020584,0.400000
endpoint_jump,cal,binary,0.80,0.90,1.25,0.50,0.200000,0.697651,-0.028713,0.600000
hybrid,train,binary,0.80,0.90,1.25,0.50,0.200000,0.693754,-0.035190,0.500000
endpoint_jump,train,ramp_sq,0.85,1.00,1.25,0.50,0.200000,0.686479,-0.013495,0.400000
hybrid,cal,ramp,0.60,1.00,1.25,0.50,0.200000,0.678184,-0.055351,0.400000
hybrid,train,binary,0.65,0.90,1.25,0.50,0.200000,0.663428,-0.045615,0.600000
endpoint_jump,train,ramp,0.75,1.00,1.25,0.50,0.200000,0.655407,-0.030619,0.400000
hybrid,train,ramp_sq,0.85,0.90,1.25,0.50,0.200000,0.637001,-0.017094,0.400000
endpoint_jump,cal,ramp_sq,0.65,1.00,1.25,0.50,0.200000,0.634313,-0.048410,0.400000
hybrid,train,binary,0.60,0.90,1.25,0.50,0.200000,0.624574,-0.048571,0.600000
hybrid,train,ramp,0.80,0.90,1.25,0.50,0.200000,0.611049,-0.022663,0.400000
endpoint_jump,cal,binary,0.75,0.90,1.25,0.50,0.200000,0.610286,-0.037535,0.600000
hybrid,cal,binary,0.75,0.90,1.25,0.50,0.200000,0.591960,-0.036158,0.600000
endpoint_jump,cal,binary,0.70,0.90,1.25,0.50,0.200000,0.586821,-0.044029,0.600000
endpoint_jump,train,binary,0.80,0.90,1.25,0.50,0.200000,0.582963,-0.016488,0.600000
hybrid,cal,binary,0.65,0.90,1.25,0.50,0.200000,0.578154,-0.042123,0.700000
endpoint_jump,train,binary,0.75,0.90,1.25,0.50,0.200000,0.562593,-0.024725,0.600000
